User_ID,Age,Age_Group,Gender,Location,Daily_Screen_Time_Hours,Screen_Time_Band,Total_App_Usage_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Category_Total_Hours,Top_Category,Social_Share_Pct,Productivity_Share_Pct,Gaming_Share_Pct,Flag_App_Hours_Exceed_Screen,Flag_Category_Hours_Exceed_App,Data_Quality
37,56,55+,Male,Houston,1.39,Light (<4h),7.08,27,4.73,4.76,0.55,10.04,Productivity,47.1,47.4,5.5,1,1,Check
38,35,35-44,Male,Chicago,9.78,High (7-10h),7.57,19,2.0,3.69,4.83,10.52,Gaming,19.0,35.1,45.9,0,1,Check
39,21,18-24,Female,Phoenix,1.58,Light (<4h),9.62,15,3.92,2.99,0.87,7.78,Social,50.4,38.4,11.2,1,0,Check
40,42,35-44,Female,Chicago,6.86,Moderate (4-7h),6.29,20,1.33,4.4,3.24,8.97,Productivity,14.8,49.1,36.1,0,1,Check
41,31,25-34,Male,Houston,13.08,Very high (10h+),1.45,4,4.95,0.25,1.23,6.43,Social,77.0,3.9,19.1,0,1,Check
42,26,25-34,Female,Houston,3.15,Light (<4h),2.8,15,0.13,1.29,3.59,5.01,Gaming,2.6,25.7,71.7,0,1,Check
43,43,35-44,Female,Chicago,6.07,Moderate (4-7h),5.82,15,3.02,2.33,3.88,9.23,Gaming,32.7,25.2,42.0,0,1,Check
44,19,18-24,Female,Houston,10.49,Very high (10h+),8.97,24,3.3,1.13,3.37,7.8,Gaming,42.3,14.5,43.2,0,0,Consistent
45,37,35-44,Female,Houston,12.47,Very high (10h+),7.53,17,3.44,3.72,3.07,10.23,Productivity,33.6,36.4,30.0,0,1,Check
46,45,45-54,Female,Chicago,9.72,High (7-10h),8.15,22,0.6,4.6,4.46,9.66,Productivity,6.2,47.6,46.2,0,1,Check
47,24,18-24,Male,Phoenix,4.36,Moderate (4-7h),6.27,29,4.69,2.12,0.39,7.2,Social,65.1,29.4,5.4,1,1,Check
48,25,25-34,Female,Houston,9.77,High (7-10h),7.77,12,0.91,1.71,1.65,4.27,Productivity,21.3,40.0,38.6,0,0,Consistent
49,52,45-54,Male,Houston,4.86,Moderate (4-7h),4.62,5,3.11,4.81,1.24,9.16,Productivity,34.0,52.5,13.5,0,1,Check
50,31,25-34,Female,Houston,10.34,Very high (10h+),6.17,21,1.11,2.22,4.94,8.27,Gaming,13.4,26.8,59.7,0,1,Check
51,34,25-34,Male,Houston,13.4,Very high (10h+),9.19,5,1.54,2.45,1.95,5.94,Productivity,25.9,41.2,32.8,0,0,Consistent
52,53,45-54,Female,Chicago,10.38,Very high (10h+),10.59,24,2.73,1.76,3.66,8.15,Gaming,33.5,21.6,44.9,1,0,Check
53,57,55+,Male,Phoenix,12.22,Very high (10h+),5.77,16,2.09,4.55,3.42,10.06,Productivity,20.8,45.2,34.0,0,1,Check
54,21,18-24,Female,Phoenix,1.03,Light (<4h),1.48,10,0.8,2.84,1.06,4.7,Productivity,17.0,60.4,22.6,1,1,Check
55,19,18-24,Male,New York,10.33,Very high (10h+),2.78,29,0.85,3.81,1.19,5.85,Productivity,14.5,65.1,20.3,0,1,Check
56,23,18-24,Female,Houston,11.78,Very high (10h+),1.23,25,2.09,4.06,1.41,7.56,Productivity,27.6,53.7,18.7,0,1,Check
57,59,55+,Male,Houston,1.53,Light (<4h),8.19,6,3.79,1.71,2.06,7.56,Social,50.1,22.6,27.2,1,0,Check
58,21,18-24,Female,New York,12.33,Very high (10h+),4.66,29,4.49,2.17,1.17,7.83,Social,57.3,27.7,14.9,0,1,Check
59,46,45-54,Male,Phoenix,4.34,Moderate (4-7h),6.97,22,0.42,4.24,0.1,4.76,Productivity,8.8,89.1,2.1,1,0,Check
60,35,35-44,Male,Los Angeles,9.65,High (7-10h),6.43,13,1.97,1.82,4.4,8.19,Gaming,24.1,22.2,53.7,0,1,Check
61,43,35-44,Female,Los Angeles,11.4,Very high (10h+),1.9,28,0.5,3.97,4.83,9.3,Gaming,5.4,42.7,51.9,0,1,Check
62,51,45-54,Female,Phoenix,9.61,High (7-10h),5.44,13,0.08,4.7,1.71,6.49,Productivity,1.2,72.4,26.3,0,1,Check
63,27,25-34,Male,Houston,2.2,Light (<4h),3.43,29,3.31,3.12,1.69,8.12,Social,40.8,38.4,20.8,1,1,Check
64,53,45-54,Female,Los Angeles,8.75,High (7-10h),5.6,13,3.01,3.71,0.04,6.76,Productivity,44.5,54.9,0.6,0,1,Check
65,31,25-34,Male,Chicago,8.14,High (7-10h),3.24,4,0.82,4.03,3.4,8.25,Productivity,9.9,48.8,41.2,0,1,Check
66,48,45-54,Male,Chicago,12.7,Very high (10h+),10.24,19,1.17,4.23,4.13,9.53,Productivity,12.3,44.4,43.3,0,0,Consistent
67,32,25-34,Male,New York,6.26,Moderate (4-7h),2.92,11,0.12,1.98,0.73,2.83,Productivity,4.2,70.0,25.8,0,0,Consistent
68,25,25-34,Female,Phoenix,5.17,Moderate (4-7h),11.57,4,4.17,0.26,0.8,5.23,Social,79.7,5.0,15.3,1,0,Check
69,31,25-34,Male,Phoenix,10.75,Very high (10h+),5.57,26,4.87,2.01,3.95,10.83,Social,45.0,18.6,36.5,0,1,Check
70,40,35-44,Male,Los Angeles,6.36,Moderate (4-7h),10.31,17,0.68,3.37,3.08,7.13,Productivity,9.5,47.3,43.2,1,0,Check
71,57,55+,Female,Houston,9.4,High (7-10h),7.92,18,1.16,2.25,0.22,3.63,Productivity,32.0,62.0,6.1,0,0,Consistent
72,38,35-44,Female,Phoenix,9.4,High (7-10h),9.09,27,4.34,3.74,3.11,11.19,Social,38.8,33.4,27.8,0,1,Check
73,33,25-34,Female,Los Angeles,12.54,Very high (10h+),9.44,6,4.63,1.78,1.54,7.95,Social,58.2,22.4,19.4,0,0,Consistent
74,35,35-44,Female,Los Angeles,8.78,High (7-10h),6.55,10,2.1,3.17,1.84,7.11,Productivity,29.5,44.6,25.9,0,1,Check
75,41,35-44,Male,Phoenix,7.53,High (7-10h),6.98,11,0.25,0.93,3.85,5.03,Gaming,5.0,18.5,76.5,0,0,Consistent
76,43,35-44,Male,Los Angeles,2.81,Light (<4h),6.65,28,0.2,3.75,4.05,8.0,Gaming,2.5,46.9,50.6,1,1,Check
77,42,35-44,Male,New York,2.5,Light (<4h),7.47,28,2.87,2.73,2.0,7.6,Social,37.8,35.9,26.3,1,1,Check
78,58,55+,Male,New York,3.01,Light (<4h),1.32,7,1.96,1.02,4.74,7.72,Gaming,25.4,13.2,61.4,0,1,Check
79,46,45-54,Female,Phoenix,3.23,Light (<4h),5.35,18,0.14,1.46,2.03,3.63,Gaming,3.9,40.2,55.9,1,0,Check
80,32,25-34,Male,Houston,9.29,High (7-10h),7.67,15,2.92,3.74,3.86,10.52,Gaming,27.8,35.6,36.7,0,1,Check
81,18,18-24,Male,New York,10.63,Very high (10h+),7.57,9,0.06,2.41,2.42,4.89,Gaming,1.2,49.3,49.5,0,0,Consistent
82,42,35-44,Female,New York,7.89,High (7-10h),9.72,28,3.94,1.08,4.49,9.51,Gaming,41.4,11.4,47.2,1,0,Check
83,24,18-24,Male,Phoenix,11.78,Very high (10h+),8.21,22,1.53,4.84,4.54,10.91,Productivity,14.0,44.4,41.6,0,1,Check
84,26,25-34,Male,Chicago,13.89,Very high (10h+),11.91,19,0.2,3.58,0.44,4.22,Productivity,4.7,84.8,10.4,0,0,Consistent
85,41,35-44,Male,Los Angeles,11.66,Very high (10h+),4.12,5,2.94,4.79,4.68,12.41,Productivity,23.7,38.6,37.7,0,1,Check
86,18,18-24,Male,New York,10.03,Very high (10h+),4.95,7,1.99,2.14,4.13,8.26,Gaming,24.1,25.9,50.0,0,1,Check
87,25,25-34,Male,Chicago,7.92,High (7-10h),5.22,21,4.87,2.38,3.96,11.21,Social,43.4,21.2,35.3,0,1,Check
88,41,35-44,Male,Houston,6.84,Moderate (4-7h),6.12,14,2.72,4.49,1.0,8.21,Productivity,33.1,54.7,12.2,0,1,Check
89,28,25-34,Female,Chicago,2.1,Light (<4h),10.2,29,1.38,2.63,4.03,8.04,Gaming,17.2,32.7,50.1,1,0,Check
90,34,25-34,Female,Phoenix,6.19,Moderate (4-7h),3.59,9,3.55,3.54,4.25,11.34,Gaming,31.3,31.2,37.5,0,1,Check
91,25,25-34,Male,Houston,12.83,Very high (10h+),9.54,11,1.36,1.26,1.45,4.07,Gaming,33.4,31.0,35.6,0,0,Consistent
92,52,45-54,Male,Houston,11.5,Very high (10h+),5.46,8,4.52,2.23,4.76,11.51,Gaming,39.3,19.4,41.4,0,1,Check
93,52,45-54,Female,Chicago,3.81,Light (<4h),7.62,28,1.87,0.62,0.25,2.74,Social,68.2,22.6,9.1,1,0,Check
94,50,45-54,Male,Phoenix,7.07,High (7-10h),7.96,19,2.75,1.03,0.75,4.53,Social,60.7,22.7,16.6,1,0,Check
95,22,18-24,Male,New York,11.62,Very high (10h+),5.1,18,0.25,0.0,2.69,2.94,Gaming,8.5,0.0,91.5,0,0,Consistent
96,59,55+,Male,Chicago,1.88,Light (<4h),6.64,25,2.13,0.2,2.88,5.21,Gaming,40.9,3.8,55.3,1,0,Check
97,56,55+,Female,New York,6.04,Moderate (4-7h),5.54,5,4.16,4.89,3.23,12.28,Productivity,33.9,39.8,26.3,0,1,Check
98,58,55+,Male,Chicago,12.07,Very high (10h+),1.76,23,4.03,1.21,0.08,5.32,Social,75.8,22.7,1.5,0,1,Check
99,45,45-54,Female,New York,6.25,Moderate (4-7h),5.81,28,1.12,3.32,4.8,9.24,Gaming,12.1,35.9,51.9,0,1,Check
100,24,18-24,Male,Chicago,2.01,Light (<4h),2.07,6,1.13,4.2,0.22,5.55,Productivity,20.4,75.7,4.0,1,1,Check
101,26,25-34,Female,Houston,8.05,High (7-10h),5.46,12,4.09,2.75,0.72,7.56,Social,54.1,36.4,9.5,0,1,Check
102,25,25-34,Female,Los Angeles,12.2,Very high (10h+),7.52,7,4.65,0.77,0.07,5.49,Social,84.7,14.0,1.3,0,0,Consistent
103,29,25-34,Male,Houston,8.67,High (7-10h),7.37,23,0.48,3.64,2.83,6.95,Productivity,6.9,52.4,40.7,0,0,Consistent
104,51,45-54,Female,New York,3.94,Light (<4h),8.29,24,2.25,3.0,4.66,9.91,Gaming,22.7,30.3,47.0,1,1,Check
105,50,45-54,Male,Phoenix,6.0,Moderate (4-7h),2.05,12,1.69,3.66,3.33,8.68,Productivity,19.5,42.2,38.4,0,1,Check
106,40,35-44,Female,Houston,6.85,Moderate (4-7h),8.17,14,4.35,3.85,4.11,12.31,Social,35.3,31.3,33.4,1,1,Check
107,41,35-44,Male,Los Angeles,8.53,High (7-10h),4.43,12,0.42,4.88,0.07,5.37,Productivity,7.8,90.9,1.3,0,1,Check
108,54,45-54,Male,New York,10.87,Very high (10h+),5.39,15,1.06,2.87,2.71,6.64,Productivity,16.0,43.2,40.8,0,1,Check
109,52,45-54,Female,Houston,2.29,Light (<4h),10.44,13,3.76,1.71,2.3,7.77,Social,48.4,22.0,29.6,1,0,Check
110,57,55+,Male,Chicago,12.57,Very high (10h+),1.1,24,0.26,3.24,2.49,5.99,Productivity,4.3,54.1,41.6,0,1,Check
111,39,35-44,Male,Phoenix,1.16,Light (<4h),7.47,18,2.46,0.34,0.36,3.16,Social,77.8,10.8,11.4,1,0,Check
112,44,35-44,Female,New York,5.81,Moderate (4-7h),7.59,10,2.21,4.49,3.42,10.12,Productivity,21.8,44.4,33.8,1,1,Check
113,52,45-54,Male,Houston,1.36,Light (<4h),5.36,10,1.67,0.6,2.52,4.79,Gaming,34.9,12.5,52.6,1,0,Check
114,18,18-24,Male,New York,6.11,Moderate (4-7h),3.61,29,1.97,1.64,3.83,7.44,Gaming,26.5,22.0,51.5,0,1,Check
115,52,45-54,Female,Chicago,7.84,High (7-10h),3.58,27,2.65,4.08,2.43,9.16,Productivity,28.9,44.5,26.5,0,1,Check
116,54,45-54,Female,Los Angeles,7.65,High (7-10h),10.72,10,0.81,2.99,0.75,4.55,Productivity,17.8,65.7,16.5,1,0,Check
117,31,25-34,Male,Houston,3.15,Light (<4h),5.86,15,2.86,1.97,3.24,8.07,Gaming,35.4,24.4,40.1,1,1,Check
118,20,18-24,Male,New York,9.39,High (7-10h),4.64,29,4.03,2.37,0.86,7.26,Social,55.5,32.6,11.8,0,1,Check
119,18,18-24,Female,New York,1.58,Light (<4h),5.94,4,3.8,4.27,4.36,12.43,Gaming,30.6,34.4,35.1,1,1,Check
120,22,18-24,Female,New York,10.9,Very high (10h+),8.36,14,0.77,1.7,3.07,5.54,Gaming,13.9,30.7,55.4,0,0,Consistent
121,43,35-44,Male,Los Angeles,13.31,Very high (10h+),2.6,12,0.75,4.35,0.79,5.89,Productivity,12.7,73.9,13.4,0,1,Check
122,31,25-34,Female,New York,5.42,Moderate (4-7h),5.94,14,1.34,0.44,4.81,6.59,Gaming,20.3,6.7,73.0,1,1,Check
123,56,55+,Male,Phoenix,7.72,High (7-10h),7.47,13,1.81,3.88,2.59,8.28,Productivity,21.9,46.9,31.3,0,1,Check
124,44,35-44,Male,Phoenix,5.93,Moderate (4-7h),11.43,17,2.04,4.24,0.36,6.64,Productivity,30.7,63.9,5.4,1,0,Check
125,26,25-34,Male,New York,1.09,Light (<4h),3.78,18,3.4,0.91,3.13,7.44,Social,45.7,12.2,42.1,1,1,Check
126,32,25-34,Male,Phoenix,6.02,Moderate (4-7h),4.95,19,0.28,2.15,1.27,3.7,Productivity,7.6,58.1,34.3,0,0,Consistent
127,32,25-34,Male,Houston,11.29,Very high (10h+),5.17,28,0.17,0.83,4.02,5.02,Gaming,3.4,16.5,80.1,0,0,Consistent
128,43,35-44,Female,Phoenix,8.75,High (7-10h),7.66,4,1.96,3.53,4.09,9.58,Gaming,20.5,36.8,42.7,0,1,Check
129,59,55+,Female,New York,2.32,Light (<4h),4.92,20,3.49,2.68,4.89,11.06,Gaming,31.6,24.2,44.2,1,1,Check
130,30,25-34,Female,Chicago,12.01,Very high (10h+),6.87,14,0.97,3.18,2.51,6.66,Productivity,14.6,47.7,37.7,0,0,Consistent
131,49,45-54,Female,Houston,7.9,High (7-10h),9.6,21,3.21,0.98,2.27,6.46,Social,49.7,15.2,35.1,1,0,Check
132,56,55+,Male,Los Angeles,11.94,Very high (10h+),8.76,28,1.3,1.06,3.77,6.13,Gaming,21.2,17.3,61.5,0,0,Consistent
133,49,45-54,Male,New York,8.54,High (7-10h),5.91,25,4.43,0.21,0.66,5.3,Social,83.6,4.0,12.5,0,0,Consistent
134,21,18-24,Male,Los Angeles,8.28,High (7-10h),10.51,20,4.48,1.61,2.73,8.82,Social,50.8,18.3,31.0,1,0,Check
135,47,45-54,Male,Chicago,2.37,Light (<4h),7.14,19,1.49,2.8,2.73,7.02,Productivity,21.2,39.9,38.9,1,0,Check
136,54,45-54,Female,Los Angeles,3.18,Light (<4h),6.94,8,1.15,4.29,0.45,5.89,Productivity,19.5,72.8,7.6,1,0,Check
137,40,35-44,Male,New York,13.64,Very high (10h+),1.38,27,2.06,3.33,2.09,7.48,Productivity,27.5,44.5,27.9,0,1,Check
138,56,55+,Male,New York,3.97,Light (<4h),11.85,17,1.2,2.18,4.27,7.65,Gaming,15.7,28.5,55.8,1,0,Check
139,32,25-34,Female,Chicago,13.71,Very high (10h+),2.35,5,3.36,4.77,4.28,12.41,Productivity,27.1,38.4,34.5,0,1,Check
140,46,45-54,Female,New York,7.91,High (7-10h),3.54,8,4.13,3.6,0.5,8.23,Social,50.2,43.7,6.1,0,1,Check
141,53,45-54,Female,Chicago,2.77,Light (<4h),1.57,5,3.37,4.65,0.45,8.47,Productivity,39.8,54.9,5.3,0,1,Check
142,30,25-34,Female,Chicago,2.29,Light (<4h),8.04,3,4.12,2.64,1.31,8.07,Social,51.1,32.7,16.2,1,1,Check
143,49,45-54,Male,New York,3.72,Light (<4h),3.47,15,1.98,1.29,4.37,7.64,Gaming,25.9,16.9,57.2,0,1,Check
144,24,18-24,Male,Phoenix,13.03,Very high (10h+),2.98,23,0.78,0.26,0.64,1.68,Social,46.4,15.5,38.1,0,0,Consistent
145,39,35-44,Female,Chicago,6.38,Moderate (4-7h),1.97,28,3.69,3.63,3.6,10.92,Social,33.8,33.2,33.0,0,1,Check
146,45,45-54,Male,New York,6.14,Moderate (4-7h),2.14,16,1.8,0.61,0.51,2.92,Social,61.6,20.9,17.5,0,1,Check
147,19,18-24,Male,Phoenix,5.07,Moderate (4-7h),7.43,15,3.36,1.51,3.12,7.99,Social,42.1,18.9,39.0,1,1,Check
148,59,55+,Male,Chicago,2.91,Light (<4h),8.57,29,1.35,2.66,1.78,5.79,Productivity,23.3,45.9,30.7,1,0,Check
149,23,18-24,Female,Phoenix,7.34,High (7-10h),5.37,6,0.41,2.82,3.94,7.17,Gaming,5.7,39.3,55.0,0,1,Check
150,45,45-54,Male,Houston,2.69,Light (<4h),6.28,9,4.96,3.0,1.17,9.13,Social,54.3,32.9,12.8,1,1,Check
151,45,45-54,Female,Houston,11.86,Very high (10h+),8.55,24,0.78,0.83,3.2,4.81,Gaming,16.2,17.3,66.5,0,0,Consistent
152,37,35-44,Male,Phoenix,5.82,Moderate (4-7h),1.19,12,4.94,1.9,1.18,8.02,Social,61.6,23.7,14.7,0,1,Check
153,47,45-54,Male,Chicago,5.87,Moderate (4-7h),4.55,9,4.89,3.09,3.57,11.55,Social,42.3,26.8,30.9,0,1,Check
154,28,25-34,Male,New York,7.16,High (7-10h),11.7,23,3.97,4.85,4.37,13.19,Productivity,30.1,36.8,33.1,1,1,Check
155,45,45-54,Female,Los Angeles,6.77,Moderate (4-7h),7.38,17,3.3,3.64,0.63,7.57,Productivity,43.6,48.1,8.3,1,1,Check
156,42,35-44,Male,New York,13.93,Very high (10h+),3.8,17,2.89,4.61,4.33,11.83,Productivity,24.4,39.0,36.6,0,1,Check
157,56,55+,Female,Los Angeles,8.09,High (7-10h),6.74,6,4.33,3.81,2.97,11.11,Social,39.0,34.3,26.7,0,1,Check
158,50,45-54,Female,Los Angeles,2.15,Light (<4h),4.77,25,1.45,2.96,0.64,5.05,Productivity,28.7,58.6,12.7,1,1,Check
159,18,18-24,Female,Chicago,8.89,High (7-10h),6.85,25,2.34,0.96,2.14,5.44,Social,43.0,17.6,39.3,0,0,Consistent
160,44,35-44,Male,Phoenix,2.97,Light (<4h),2.38,8,3.1,3.33,0.8,7.23,Productivity,42.9,46.1,11.1,0,1,Check
161,30,25-34,Male,New York,1.4,Light (<4h),2.46,26,2.06,3.12,3.5,8.68,Gaming,23.7,35.9,40.3,1,1,Check
162,58,55+,Male,Phoenix,13.62,Very high (10h+),2.58,22,2.14,3.01,3.79,8.94,Gaming,23.9,33.7,42.4,0,1,Check
163,20,18-24,Male,Houston,11.06,Very high (10h+),11.34,28,1.65,2.45,0.53,4.63,Productivity,35.6,52.9,11.4,1,0,Check
164,56,55+,Female,Chicago,13.74,Very high (10h+),9.06,7,2.82,2.64,2.53,7.99,Social,35.3,33.0,31.7,0,0,Consistent
165,23,18-24,Female,Chicago,7.21,High (7-10h),2.79,22,4.25,1.67,4.07,9.99,Social,42.5,16.7,40.7,0,1,Check
166,25,25-34,Female,Houston,7.92,High (7-10h),3.07,14,1.01,2.6,4.68,8.29,Gaming,12.2,31.4,56.5,0,1,Check
167,44,35-44,Male,New York,3.19,Light (<4h),9.04,3,4.67,0.99,2.57,8.23,Social,56.7,12.0,31.2,1,0,Check
168,26,25-34,Female,Houston,4.21,Moderate (4-7h),2.72,10,3.45,4.03,4.75,12.23,Gaming,28.2,33.0,38.8,0,1,Check
169,54,45-54,Male,New York,11.9,Very high (10h+),3.58,3,4.12,0.93,2.68,7.73,Social,53.3,12.0,34.7,0,1,Check
170,50,45-54,Female,Los Angeles,5.63,Moderate (4-7h),11.6,7,2.78,0.42,1.97,5.17,Social,53.8,8.1,38.1,1,0,Check
171,59,55+,Male,Chicago,11.75,Very high (10h+),3.81,24,3.9,2.18,4.24,10.32,Gaming,37.8,21.1,41.1,0,1,Check
172,41,35-44,Male,New York,10.22,Very high (10h+),8.28,8,0.08,3.29,2.46,5.83,Productivity,1.4,56.4,42.2,0,0,Consistent
173,32,25-34,Female,Phoenix,3.3,Light (<4h),11.76,23,4.09,2.19,2.36,8.64,Social,47.3,25.3,27.3,1,0,Check
174,49,45-54,Female,Phoenix,7.6,High (7-10h),5.12,5,0.2,1.38,2.45,4.03,Gaming,5.0,34.2,60.8,0,0,Consistent
175,49,45-54,Female,Chicago,9.81,High (7-10h),1.19,17,4.45,2.79,4.23,11.47,Social,38.8,24.3,36.9,0,1,Check
176,41,35-44,Female,Houston,4.06,Moderate (4-7h),3.69,7,4.96,1.74,4.16,10.86,Social,45.7,16.0,38.3,0,1,Check
177,58,55+,Male,Houston,11.8,Very high (10h+),10.14,26,1.47,4.66,2.02,8.15,Productivity,18.0,57.2,24.8,0,0,Consistent
178,29,25-34,Female,New York,8.08,High (7-10h),10.51,16,1.05,4.61,1.67,7.33,Productivity,14.3,62.9,22.8,1,0,Check
179,56,55+,Female,Houston,3.15,Light (<4h),9.45,20,3.83,2.51,2.46,8.8,Social,43.5,28.5,28.0,1,0,Check
180,19,18-24,Female,Chicago,8.58,High (7-10h),2.24,18,1.27,1.64,2.86,5.77,Gaming,22.0,28.4,49.6,0,1,Check
181,20,18-24,Male,New York,14.0,Very high (10h+),9.75,8,4.33,3.69,1.19,9.21,Social,47.0,40.1,12.9,0,0,Consistent
182,54,45-54,Male,Los Angeles,2.96,Light (<4h),11.11,27,0.51,0.18,3.97,4.66,Gaming,10.9,3.9,85.2,1,0,Check
183,34,25-34,Female,Houston,11.62,Very high (10h+),7.61,26,0.63,2.37,2.43,5.43,Gaming,11.6,43.6,44.8,0,0,Consistent
184,19,18-24,Male,Houston,3.7,Light (<4h),11.35,16,4.9,1.68,1.67,8.25,Social,59.4,20.4,20.2,1,0,Check
185,19,18-24,Female,New York,11.17,Very high (10h+),10.1,29,3.37,4.6,0.53,8.5,Productivity,39.6,54.1,6.2,0,0,Consistent
